HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ
-0.1522,1.7558,-0.7761,18.2844,7.0335,352.5564
-0.1426,1.7568,-0.7799,18.1297,6.5228,352.7766
-0.1228,1.7607,-0.7864,17.4905,5.5028,353.5688
-0.1132,1.7621,-0.7894,17.0196,5.0541,354.0137
-0.1041,1.7629,-0.7927,17.0034,4.6619,354.3851
-0.0872,1.7624,-0.8004,17.2478,4.0498,354.5396
-0.0798,1.7615,-0.8044,17.5126,3.7686,354.5269
-0.0653,1.7617,-0.8113,17.803,3.3345,355.0911
-0.0524,1.7629,-0.8167,18.1377,2.5441,356.4364
-0.0463,1.7633,-0.8198,18.3006,2.055,357.084
-0.0358,1.7633,-0.8257,18.3139,1.0368,358.0432
-0.0307,1.763,-0.8288,18.1138,0.5576,358.4729
-0.0227,1.7615,-0.8344,17.1584,359.5923,358.9041
-0.0191,1.7611,-0.8372,16.6946,359.2616,359.0006
-0.0141,1.7626,-0.8428,15.7613,358.776,359.1729
-0.0122,1.7637,-0.8459,15.3726,358.683,359.2226
-0.0103,1.7675,-0.8526,14.9218,358.416,359.3165
-0.01,1.7711,-0.8588,13.8062,357.931,359.8098
-0.01,1.7723,-0.8616,13.1149,357.5954,0.2174
-0.0114,1.7735,-0.8666,11.8623,356.8013,0.7367
-0.0125,1.7737,-0.869,11.4961,356.4646,0.8657
-0.0157,1.7738,-0.8732,11.3092,355.8419,0.9514
-0.0177,1.7737,-0.8749,11.2563,355.4925,0.8901
-0.0225,1.7739,-0.8781,11.5056,354.974,0.6265
-0.025,1.7744,-0.8794,11.5301,354.8023,0.4102
-0.0281,1.7755,-0.8802,11.5134,354.6007,0.1497
-0.0334,1.7788,-0.8816,11.2057,354.4264,359.7687
-0.0368,1.7812,-0.882,10.4819,354.4286,359.5833
-0.0426,1.7849,-0.8828,9.595,354.4804,359.152
0.2582,1.7664,-1.1015,5.3501,352.4918,359.9342
0.2585,1.7655,-1.1011,6.0822,352.5064,359.9479
0.2587,1.7646,-1.1008,6.6305,352.8085,359.9324
0.2588,1.7639,-1.1004,7.1561,353.4611,359.9345
0.2587,1.763,-1.1002,7.9038,353.8079,359.9731
0.2583,1.7622,-1.1004,8.7325,353.94,359.9067
0.2571,1.762,-1.1011,9.1266,353.5743,359.91
0.2564,1.7622,-1.1014,8.9387,353.3712,359.9928
0.2557,1.7625,-1.102,8.9024,353.078,0.0129
0.254,1.763,-1.1034,8.7937,352.5937,0.2057
0.2536,1.763,-1.1038,8.7445,352.5049,0.2607
0.2529,1.763,-1.1041,8.7604,352.3929,0.3135
0.2526,1.763,-1.1042,8.7668,352.3567,0.3012
0.2518,1.7627,-1.1046,8.9946,352.2132,0.2928
0.2515,1.7625,-1.1046,9.0212,352.2056,0.2808
0.2509,1.7621,-1.1045,9.226,352.1483,0.2938
0.2507,1.7619,-1.1045,9.2987,352.1208,0.2854
0.2502,1.7616,-1.1041,9.4541,352.0566,0.3346
0.2501,1.7615,-1.104,9.482,352.0436,0.3508
0.2497,1.7614,-1.1038,9.5153,352.0341,0.3757
0.2494,1.7615,-1.1036,9.3846,352.0562,0.4498
0.2493,1.7616,-1.1035,9.3363,352.0603,0.4433
0.2492,1.7617,-1.1034,9.2336,352.0742,0.4
0.2489,1.762,-1.1032,9.0692,352.0664,0.3604
0.2488,1.7621,-1.1031,9.003,352.0456,0.3824
0.2485,1.7623,-1.1029,8.7652,352.0396,0.4017
0.248,1.7631,-1.1029,8.2081,351.9137,0.4413
0.2477,1.7634,-1.103,7.9731,351.8859,0.4283
0.2473,1.764,-1.1032,7.5654,351.6054,0.4189
0.2471,1.7642,-1.1032,7.4214,351.5297,0.3482
0.2465,1.7646,-1.1034,7.1369,351.3665,0.4605
0.2461,1.7647,-1.1035,6.9276,351.2667,0.5407
0.2454,1.7652,-1.1037,6.63,350.8543,0.5834
0.245,1.7653,-1.1037,6.5859,350.7484,0.5811
0.2437,1.7658,-1.1041,6.2107,350.0539,0.6295
0.2431,1.7661,-1.1042,6.0294,349.8243,0.7069
0.2414,1.7667,-1.1046,5.5778,349.0271,0.6624
0.2402,1.7671,-1.1049,5.4739,348.291,0.8545
0.2381,1.7672,-1.1051,5.2188,347.633,1.1632
0.2371,1.7672,-1.105,5.3664,347.3067,1.4626
0.2356,1.767,-1.1048,5.5461,346.9827,1.677
0.2344,1.7666,-1.1045,5.7176,346.5828,1.8781
0.2329,1.7659,-1.1041,6.174,346.3438,1.9071
0.2317,1.7649,-1.1035,6.7899,346.3821,1.7088
0.2307,1.7623,-1.102,8.2786,346.3849,1.3386
0.2313,1.7608,-1.1006,8.8443,346.8908,1.023
0.2314,1.7608,-1.1004,8.8383,347.0625,0.9374
0.2311,1.7609,-1.0999,8.882,347.3549,1.166
0.2309,1.7608,-1.0997,8.8821,347.3705,1.2066
0.2303,1.7606,-1.099,9.0486,347.4218,1.3082
0.23,1.7604,-1.0987,9.2387,347.3944,1.3463
0.2291,1.7589,-1.0972,9.9897,347.4751,1.5045
0.2289,1.7582,-1.0965,10.3206,347.5357,1.5791
0.2286,1.7556,-1.0941,11.5467,347.8181,1.6455
0.2291,1.7533,-1.0918,12.5269,348.4741,1.5926
0.2294,1.7517,-1.0907,13.1047,348.9662,1.5523
0.2297,1.7501,-1.0893,14.1279,349.3688,1.5132
0.2301,1.7473,-1.087,15.5883,349.8457,1.7507
0.23,1.7455,-1.0855,16.4035,350.0021,1.7769
0.2298,1.7426,-1.083,18.2699,350.3441,2.0209
0.2298,1.7421,-1.0818,18.5984,350.4075,1.9533
0.2299,1.7408,-1.0795,18.9523,350.4875,1.8776
0.23,1.74,-1.0775,19.6637,350.415,1.7117
0.23,1.7398,-1.077,19.6109,350.3668,1.7026
0.2298,1.7394,-1.0756,19.7704,350.4048,1.6275
0.2298,1.7391,-1.0749,19.9548,350.4168,1.7023
0.2296,1.7385,-1.0735,20.2106,350.5255,1.7418
0.2295,1.7384,-1.073,20.2855,350.516,1.7474
0.2295,1.7382,-1.0718,20.3507,350.5111,1.7733
0.2294,1.7379,-1.0704,20.4854,350.375,1.7167
0.2293,1.7379,-1.0699,20.4661,350.3445,1.6757
0.2293,1.7379,-1.0689,20.4743,350.2889,1.6603
0.2293,1.7378,-1.0685,20.4667,350.2804,1.6742
0.2294,1.7378,-1.0677,20.4748,350.2732,1.7151
0.2296,1.7375,-1.0665,20.4723,350.3039,1.8164
0.2298,1.7374,-1.0658,20.4736,350.3354,1.8301
0.2303,1.7372,-1.0649,20.5088,350.4022,1.7979
0.2308,1.7371,-1.0643,20.4789,350.4567,1.7191
0.2315,1.7374,-1.0638,20.3823,350.5761,1.6868
0.2322,1.7377,-1.0633,20.1794,350.7271,1.6133
0.2326,1.738,-1.0629,20.0537,350.8814,1.6712
0.2331,1.7383,-1.0625,19.9104,350.9412,1.7066
0.2333,1.7385,-1.0623,19.859,350.9974,1.7158
0.2338,1.7387,-1.0619,19.7243,351.0352,1.7205
0.2343,1.739,-1.0616,19.549,351.104,1.6931
0.2349,1.7394,-1.0613,19.4127,351.3196,1.7342
0.2356,1.7399,-1.0611,19.2693,351.5129,1.7656
0.2358,1.7402,-1.061,19.1612,351.6747,1.8071
0.2361,1.7404,-1.0609,18.9788,351.6605,1.8891
0.2362,1.7416,-1.0608,18.4945,351.5836,1.972
0.2362,1.7421,-1.0608,18.3341,351.5262,1.8895
0.2362,1.7431,-1.0609,17.77,351.479,1.9079
0.2365,1.7442,-1.0611,17.4032,351.6559,1.9175
0.2371,1.7459,-1.0613,16.6041,352.1248,2.0442
0.2375,1.747,-1.0616,16.1699,352.3871,2.0772
0.2377,1.7486,-1.0621,15.3669,352.9033,2.1559
0.2379,1.7491,-1.0624,15.2125,352.8953,2.2251
0.2379,1.7497,-1.0629,14.7682,353.1382,2.3163
0.238,1.7499,-1.063,14.6864,353.142,2.3963
0.2381,1.7503,-1.0635,14.4618,353.3297,2.4789
0.238,1.7505,-1.0637,14.3469,353.4124,2.4953
0.2379,1.7507,-1.0641,14.2946,353.442,2.4948
0.2377,1.7509,-1.0645,14.1684,353.5246,2.5483
0.2374,1.7513,-1.0652,13.9668,353.6574,2.6983
0.2372,1.7515,-1.0655,13.8879,353.6836,2.7283
0.2368,1.7519,-1.0662,13.6965,353.7044,2.8654
0.2364,1.7524,-1.0667,13.4065,353.698,2.9774
0.236,1.753,-1.0672,13.1357,353.6686,3.0847
0.2356,1.7536,-1.0674,12.8043,353.5533,3.1801
0.2353,1.754,-1.0675,12.5155,353.4177,3.2117
0.2351,1.7544,-1.0675,12.3251,353.2734,3.3031
0.2332,1.7566,-1.0681,10.8642,352.0449,4.0587
0.2323,1.7575,-1.0685,10.4397,351.373,4.139
0.2303,1.7587,-1.0695,9.7867,350.1664,4.3028
0.2295,1.7593,-1.0698,9.6009,349.8628,4.4155
0.2286,1.7603,-1.0708,9.1007,349.4688,4.5284
0.2281,1.7613,-1.0717,8.329,349.2848,4.7512
0.228,1.7618,-1.0721,8.1224,349.1447,4.7413
0.2281,1.762,-1.0726,8.1177,349.2659,4.7261
0.2281,1.7626,-1.0732,7.8489,349.2547,4.761
0.2278,1.7632,-1.0737,7.5001,349.214,4.8403
0.2274,1.7642,-1.0743,6.7393,349.0279,4.9749
0.2274,1.7646,-1.0747,6.4637,348.9727,4.9789
0.2275,1.7653,-1.0751,5.9102,348.9694,5.0957
0.2276,1.7656,-1.0754,5.7325,348.943,5.0692
0.2278,1.766,-1.0757,5.6104,349.0401,5.0563
0.2283,1.7662,-1.076,5.5063,349.16,5.0497
0.2285,1.7665,-1.0762,5.3486,349.3418,5.0278
0.2293,1.7672,-1.0766,4.8218,349.7238,4.9655
0.2294,1.7674,-1.0767,4.7145,349.8566,4.9175
0.2297,1.7678,-1.077,4.5856,349.9468,4.8759
0.2298,1.768,-1.0771,4.5177,349.9293,4.8799
0.23,1.7683,-1.0772,4.4097,349.9396,4.8668
0.2301,1.7684,-1.0772,4.3739,349.9555,4.8607
0.2304,1.7685,-1.0772,4.2991,350.0733,4.8112
0.2306,1.7685,-1.077,4.301,350.1814,4.7817
0.2307,1.7684,-1.0769,4.3273,350.2357,4.78
0.2308,1.7682,-1.0766,4.4571,350.3445,4.7593
0.2308,1.7681,-1.0765,4.4616,350.3837,4.7614
0.2309,1.7679,-1.0763,4.5165,350.4405,4.7693
0.2309,1.7676,-1.076,4.746,350.559,4.7467
